DISTRICT,CNTYNAME,COUNTY,DFLCHART,DISTNAME,REGION,secs
'021805,BRAZOS,'021,Y,ARROW ACADEMY,'06,
'217901,STONEWALL,'217,N,ASPERMONT ISD,'14,
'107901,HENDERSON,'107,N,ATHENS ISD,'07,A
'034901,CASS,'034,N,ATLANTA ISD,'08,B
'061907,DENTON,'061,N,AUBREY ISD,'11,
'227818,TRAVIS,'227,Y,AUSTIN CAN ACADEMY CHARTER SCHOOL,'13,H
'227821,TRAVIS,'227,Y,AUSTIN DISCOVERY SCHOOL,'13,
'227901,TRAVIS,'227,N,AUSTIN ISD,'13,B
'196901,REFUGIO,'196,N,AUSTWELL-TIVOLI ISD,'03,
'070901,ELLIS,'070,N,AVALON ISD,'10,
'194902,RED RIVER,'194,N,AVERY ISD,'08,
'034902,CASS,'034,N,AVINGER ISD,'08,D
'161918,MCLENNAN,'161,N,AXTELL ISD,'12,
'220915,TARRANT,'220,N,AZLE ISD,'11,
'212803,SMITH,'212,Y,AZLEWAY CHARTER SCHOOL,'07,B
'030903,CALLAHAN,'030,N,BAIRD ISD,'14,
'200901,RUNNELS,'200,N,BALLINGER ISD,'15,
'195902,REEVES,'195,N,BALMORHEA ISD,'18,
'010902,BANDERA,'010,N,BANDERA ISD,'20,B
'025901,BROWN,'025,N,BANGS ISD,'15,
'178913,NUECES,'178,N,BANQUETE ISD,'02,
'036902,CHAMBERS,'036,N,BARBERS HILL ISD,'04,D
'014902,BELL,'014,N,BARTLETT ISD,'13,A
'011901,BASTROP,'011,N,BASTROP ISD,'13,
'101809,HARRIS,'101,Y,BAY AREA CHARTER INC,'04,D
'158901,MATAGORDA,'158,N,BAY CITY ISD,'03,B
'101847,HARRIS,'101,Y,BEATRICE MAYES INSTITUTE CHARTER S,'04,B
'123910,JEFFERSON,'123,N,BEAUMONT ISD,'05,B
'183901,PANOLA,'183,N,BECKVILLE ISD,'07,
'013901,BEE,'013,N,BEEVILLE ISD,'02,B
'039904,CLAY,'039,N,BELLEVUE ISD,'09,
'091901,GRAYSON,'091,N,BELLS ISD,'10,
'008901,AUSTIN,'008,N,BELLVILLE ISD,'06,B
'014903,BELL,'014,N,BELTON ISD,'12,B
'125902,JIM WELLS,'125,N,BEN BOLT-PALITO BLANCO ISD,'02,
'066901,DUVAL,'066,N,BENAVIDES ISD,'02,D
'138904,KNOX,'138,N,BENJAMIN ISD,'09,
'015809,BEXAR,'015,Y,BEXAR COUNTY ACADEMY,'20,B
'187901,POLK,'187,N,BIG SANDY ISD,'06,
'230901,UPSHUR,'230,N,BIG SANDY ISD,'07,
'114901,HOWARD,'114,N,BIG SPRING ISD,'18,H
'193801,REAL,'193,Y,BIG SPRINGS CHARTER SCHOOL,'20,A
'220902,TARRANT,'220,N,BIRDVILLE ISD,'11,
'178902,NUECES,'178,N,BISHOP CISD,'02,
'177903,NOLAN,'177,N,BLACKWELL CISD,'14,
'016902,BLANCO,'016,N,BLANCO ISD,'13,
'116915,HUNT,'116,N,BLAND ISD,'10,
'025904,BROWN,'025,N,BLANKET ISD,'15,
'034909,CASS,'034,N,BLOOMBURG ISD,'08,
'175902,NAVARRO,'175,N,BLOOMING GROVE ISD,'12,
'235901,VICTORIA,'235,N,BLOOMINGTON ISD,'03,B
'043917,COLLIN,'043,N,BLUE RIDGE ISD,'10,
'072904,ERATH,'072,N,BLUFF DALE ISD,'11,
'109913,HILL,'109,N,BLUM ISD,'12,
'123807,JEFFERSON,'123,Y,BOB HOPE SCHOOL,'05,
'130901,KENDALL,'130,N,BOERNE ISD,'20,D
'116916,HUNT,'116,N,BOLES ISD,'10,
'241901,WHARTON,'241,N,BOLING ISD,'03,
'074903,FANNIN,'074,N,BONHAM ISD,'10,B
'148901,LIPSCOMB,'148,N,BOOKER ISD,'16,
'017901,BORDEN,'017,N,BORDEN COUNTY ISD,'17,
'117901,HUTCHINSON,'117,N,BORGER ISD,'16,B
'161923,MCLENNAN,'161,N,BOSQUEVILLE ISD,'12,D
'185901,PARMER,'185,N,BOVINA ISD,'16,
'169901,MONTAGUE,'169,N,BOWIE ISD,'09,
'249902,WISE,'249,N,BOYD ISD,'11,
'180901,OLDHAM,'180,N,BOYS RANCH ISD,'16,
'136901,KINNEY,'136,N,BRACKETT ISD,'20,
'160901,MCCULLOCH,'160,N,BRADY ISD,'15,
'008903,AUSTIN,'008,N,BRAZOS ISD,'06,
'213801,SOMERVELL,'213,Y,BRAZOS RIVER CHARTER SCHOOL,'11,B
'021803,BRAZOS,'021,Y,BRAZOS SCHOOL FOR INQUIRY & CREATI,'06,B
'020905,BRAZORIA,'020,N,BRAZOSPORT ISD,'04,
'215901,STEPHENS,'215,N,BRECKENRIDGE ISD,'14,
'198901,ROBERTSON,'198,N,BREMOND ISD,'06,
'239901,WASHINGTON,'239,N,BRENHAM ISD,'06,D
'181901,ORANGE,'181,N,BRIDGE CITY ISD,'05,
'249903,WISE,'249,N,BRIDGEPORT ISD,'11,
'243801,WICHITA,'243,Y,BRIGHT IDEAS CHARTER,'09,
'203902,SAN AUGUSTINE,'203,N,BROADDUS ISD,'07,D
'184909,PARKER,'184,N,BROCK ISD,'11,
'041901,COKE,'041,N,BRONTE ISD,'15,
'121902,JASPER,'121,N,BROOKELAND ISD,'05,
'025908,BROWN,'025,N,BROOKESMITH ISD,'15,
'015830,BEXAR,'015,Y,BROOKS ACADEMY OF SCIENCE AND ENGI,'20,
'024901,BROOKS,'024,N,BROOKS COUNTY ISD,'02,B
'223901,TERRY,'223,N,BROWNFIELD ISD,'17,
'107902,HENDERSON,'107,N,BROWNSBORO ISD,'07,D
'031901,CAMERON,'031,N,BROWNSVILLE ISD,'01,
'025902,BROWN,'025,N,BROWNWOOD ISD,'15,
'161919,MCLENNAN,'161,N,BRUCEVILLE-EDDY ISD,'12,
'021902,BRAZOS,'021,N,BRYAN ISD,'06,L
'119901,JACK,'119,N,BRYSON ISD,'09,
'166907,MILAM,'166,N,BUCKHOLTS ISD,'06,
'186901,PECOS,'186,N,BUENA VISTA ISD,'18,
'145901,LEON,'145,N,BUFFALO ISD,'06,D
'212902,SMITH,'212,N,BULLARD ISD,'07,D
'121903,JASPER,'121,N,BUNA ISD,'05,D
'243901,WICHITA,'243,N,BURKBURNETT ISD,'09,
'176901,NEWTON,'176,N,BURKEVILLE ISD,'05,
'126902,JOHNSON,'126,N,BURLESON ISD,'11,
'027903,BURNET,'027,N,BURNET CISD,'13,B
'071801,EL PASO,'071,Y,BURNHAM WOOD CHARTER SCHOOL DISTRI,'19,
'239903,WASHINGTON,'239,N,BURTON ISD,'06,
'188904,POTTER,'188,N,BUSHLAND ISD,'16,
'039901,CLAY,'039,N,BYERS ISD,'09,
'109902,HILL,'109,N,BYNUM ISD,'12,D
'116901,HUNT,'116,N,CADDO MILLS ISD,'10,D
'178903,NUECES,'178,N,CALALLEN ISD,'02,D
'026901,BURLESON,'026,N,CALDWELL ISD,'06,
'029901,CALHOUN,'029,N,CALHOUN COUNTY ISD,'03,
'049905,COOKE,'049,N,CALLISBURG ISD,'11,
'198902,ROBERTSON,'198,N,CALVERT ISD,'06,
'101837,HARRIS,'101,Y,CALVIN NELMS CHARTER SCHOOLS,'04,
'166901,MILAM,'166,N,CAMERON ISD,'06,
'116910,HUNT,'116,N,CAMPBELL ISD,'10,
'106901,HEMPHILL,'106,N,CANADIAN ISD,'16,
'234902,VAN ZANDT,'234,N,CANTON ISD,'10,D
'071907,EL PASO,'071,N,CANUTILLO ISD,'19,B
'191901,RANDALL,'191,N,CANYON ISD,'16,
'201913,RUSK,'201,N,CARLISLE ISD,'07,D
'064903,DIMMIT,'064,N,CARRIZO SPRINGS CISD,'20,B
'220919,TARRANT,'220,N,CARROLL ISD,'11,
'057903,DALLAS,'057,N,CARROLLTON-FARMERS BRANCH ISD,'10,
'183902,PANOLA,'183,N,CARTHAGE ISD,'07,D
'220917,TARRANT,'220,N,CASTLEBERRY ISD,'11,D
'001902,ANDERSON,'001,N,CAYUGA ISD,'07,
'057904,DALLAS,'057,N,CEDAR HILL ISD,'10,
'227817,TRAVIS,'227,Y,CEDARS INTERNATIONAL ACADEMY,'13,D
'116902,HUNT,'116,N,CELESTE ISD,'10,
'043903,COLLIN,'043,N,CELINA ISD,'10,B
'210901,SHELBY,'210,N,CENTER ISD,'07,B
'133901,KERR,'133,N,CENTER POINT ISD,'20,D
'145902,LEON,'145,N,CENTERVILLE ISD,'06,A
'228904,TRINITY,'228,N,CENTERVILLE ISD,'06,
'174908,NACOGDOCHES,'174,N,CENTRAL HEIGHTS ISD,'07,D
'003907,ANGELINA,'003,N,CENTRAL ISD,'07,
'101905,HARRIS,'101,N,CHANNELVIEW ISD,'04,
'103901,HARTLEY,'103,N,CHANNING ISD,'16,
'227814,TRAVIS,'227,Y,CHAPARRAL STAR ACADEMY,'13,
'220815,TARRANT,'220,Y,CHAPEL HILL ACADEMY,'11,
'212909,SMITH,'212,N,CHAPEL HILL ISD,'07,
'225906,TITUS,'225,N,CHAPEL HILL ISD,'08,
'007901,ATASCOSA,'007,N,CHARLOTTE ISD,'20,D
'206903,SAN SABA,'206,N,CHEROKEE ISD,'15,
'229906,TYLER,'229,N,CHESTER ISD,'05,
'249904,WISE,'249,N,CHICO ISD,'11,
'057811,DALLAS,'057,Y,CHILDREN FIRST ACADEMY OF DALLAS,'10,D
'038901,CHILDRESS,'038,N,CHILDRESS ISD,'16,D
'099902,HARDEMAN,'099,N,CHILLICOTHE ISD,'09,
'073901,FALLS,'073,N,CHILTON ISD,'12,
'161920,MCLENNAN,'161,N,CHINA SPRING ISD,'12,A
'174901,NACOGDOCHES,'174,N,CHIRENO ISD,'07,
'139905,LAMAR,'139,N,CHISUM ISD,'08,
'226901,TOM GREEN,'226,N,CHRISTOVAL ISD,'15,
'067902,EASTLAND,'067,N,CISCO ISD,'14,
'015832,BEXAR,'015,Y,CITY CENTER HEALTH CAREERS,'20,
'243906,WICHITA,'243,N,CITY VIEW ISD,'09,
'065901,DONLEY,'065,N,CLARENDON ISD,'16,D
'194904,RED RIVER,'194,N,CLARKSVILLE ISD,'08,D
'006902,ARMSTRONG,'006,N,CLAUDE ISD,'16,
'084910,GALVESTON,'084,N,CLEAR CREEK ISD,'04,
'126903,JOHNSON,'126,N,CLEBURNE ISD,'11,
'146901,LIBERTY,'146,N,CLEVELAND ISD,'04,B
'018901,BOSQUE,'018,N,CLIFTON ISD,'12,D
'071901,EL PASO,'071,N,CLINT ISD,'19,C
'030902,CALLAHAN,'030,N,CLYDE CISD,'14,
'114902,HOWARD,'114,N,COAHOMA ISD,'18,
'204901,SAN JACINTO,'204,N,COLDSPRING-OAKHURST CISD,'06,D
'042901,COLEMAN,'042,N,COLEMAN ISD,'15,
'021901,BRAZOS,'021,N,COLLEGE STATION ISD,'06,D
'091902,GRAYSON,'091,N,COLLINSVILLE ISD,'10,
'229901,TYLER,'229,N,COLMESNEIL ISD,'05,
'168901,MITCHELL,'168,N,COLORADO ISD,'14,
'020907,BRAZORIA,'020,N,COLUMBIA-BRAZORIA ISD,'04,
'045902,COLORADO,'045,N,COLUMBUS ISD,'03,
'046902,COMAL,'046,N,COMAL ISD,'13,
'047901,COMANCHE,'047,N,COMANCHE ISD,'14,B
'130902,KENDALL,'130,N,COMFORT ISD,'13,D
'116903,HUNT,'116,N,COMMERCE ISD,'10,D
'043918,COLLIN,'043,N,COMMUNITY ISD,'10,
'112908,HOPKINS,'112,N,COMO-PICKTON CISD,'08,
'068802,ECTOR,'068,Y,COMPASS ACADEMY CHARTER SCHOOL,'18,
'101842,HARRIS,'101,Y,COMQUEST ACADEMY,'04,
'233903,VAL VERDE,'233,N,COMSTOCK ISD,'15,D
'161921,MCLENNAN,'161,N,CONNALLY ISD,'12,
'170902,MONTGOMERY,'170,N,CONROE ISD,'06,
'147901,LIMESTONE,'147,N,COOLIDGE ISD,'12,
'060902,DELTA,'060,N,COOPER ISD,'08,D
'057922,DALLAS,'057,N,COPPELL ISD,'10,
'050910,CORYELL,'050,N,COPPERAS COVE ISD,'12,
'178904,NUECES,'178,N,CORPUS CHRISTI ISD,'02,B
'178807,NUECES,'178,Y,CORPUS CHRISTI MONTESSORI SCHOOL,'02,
'187904,POLK,'187,N,CORRIGAN-CAMDEN ISD,'06,D
'175903,NAVARRO,'175,N,CORSICANA ISD,'12,L
'095902,HALE,'095,N,COTTON CENTER ISD,'17,
'142901,LA SALLE,'142,N,COTULLA ISD,'20,K
'246914,WILLIAMSON,'246,N,COUPLAND ISD,'13,
'109903,HILL,'109,N,COVINGTON ISD,'12,
'129901,KAUFMAN,'129,N,CRANDALL ISD,'10,
'052901,CRANE,'052,N,CRANE ISD,'18,
'018908,BOSQUE,'018,N,CRANFILLS GAP ISD,'12,
'161901,MCLENNAN,'161,N,CRAWFORD ISD,'12,
'053001,CROCKETT,'053,N,CROCKETT COUNTY CONSOLIDATED CSD,'15,
'113901,HOUSTON,'113,N,CROCKETT ISD,'06,L
'101906,HARRIS,'101,N,CROSBY ISD,'04,B
'054901,CROSBY,'054,N,CROSBYTON CISD,'17,
'030901,CALLAHAN,'030,N,CROSS PLAINS ISD,'14,
'107904,HENDERSON,'107,N,CROSS ROADS ISD,'07,
'184801,PARKER,'184,Y,CROSSTIMBERS ACADEMY,'11,
'078901,FOARD,'078,N,CROWELL ISD,'09,
'220912,TARRANT,'220,N,CROWLEY ISD,'11,
'254901,ZAVALA,'254,N,CRYSTAL CITY ISD,'20,L
'062901,DEWITT,'062,N,CUERO ISD,'03,
'055901,CULBERSON,'055,N,CULBERSON COUNTY-ALLAMOORE ISD,'18,
'212801,SMITH,'212,Y,CUMBERLAND ACADEMY,'07,
'112905,HOPKINS,'112,N,CUMBY ISD,'08,
'174902,NACOGDOCHES,'174,N,CUSHING ISD,'07,
'101907,HARRIS,'101,N,CYPRESS-FAIRBANKS ISD,'04,
'163902,MEDINA,'163,N,D'HANIS ISD,'20,
'172902,MORRIS,'172,N,DAINGERFIELD-LONE STAR ISD,'08,D
'056901,DALLAM,'056,N,DALHART ISD,'16,
'057804,DALLAS,'057,Y,DALLAS CAN ACADEMY CHARTER,'10,J
'057805,DALLAS,'057,Y,DALLAS COMMUNITY CHARTER SCHOOL,'10,B
'057814,DALLAS,'057,Y,DALLAS COUNTY JUVENILE JUSTICE,'10,B
'057905,DALLAS,'057,N,DALLAS ISD,'10,B
'020910,BRAZORIA,'020,N,DAMON ISD,'04,D
'020904,BRAZORIA,'020,N,DANBURY ISD,'04,
'148905,LIPSCOMB,'148,N,DARROUZETT ISD,'16,
'058902,DAWSON,'058,N,DAWSON ISD,'17,
'175904,NAVARRO,'175,N,DAWSON ISD,'12,D
'146902,LIBERTY,'146,N,DAYTON ISD,'04,
'047902,COMANCHE,'047,N,DE LEON ISD,'14,
'249905,WISE,'249,N,DECATUR ISD,'11,
'101908,HARRIS,'101,N,DEER PARK ISD,'04,
'019901,BOWIE,'019,N,DEKALB ISD,'08,D
'227910,TRAVIS,'227,N,DEL VALLE ISD,'13,
'115903,HUDSPETH,'115,N,DELL CITY ISD,'19,
'091903,GRAYSON,'091,N,DENISON ISD,'10,
'061901,DENTON,'061,N,DENTON ISD,'11,
'251901,YOAKUM,'251,N,DENVER CITY ISD,'17,D
'057906,DALLAS,'057,N,DESOTO ISD,'10,J
'194905,RED RIVER,'194,N,DETROIT ISD,'08,D
'146903,LIBERTY,'146,N,DEVERS ISD,'04,
'163901,MEDINA,'163,N,DEVINE ISD,'20,D
'081906,FREESTONE,'081,N,DEW ISD,'12,
'176903,NEWTON,'176,N,DEWEYVILLE ISD,'05,
'003905,ANGELINA,'003,N,DIBOLL ISD,'07,D
'084901,GALVESTON,'084,N,DICKINSON ISD,'04,
'082902,FRIO,'082,N,DILLEY ISD,'20,D
'144903,LEE,'144,N,DIME BOX ISD,'13,
'035901,CASTRO,'035,N,DIMMITT ISD,'16,
'133905,KERR,'133,N,DIVIDE ISD,'20,
'074904,FANNIN,'074,N,DODD CITY ISD,'10,
'108902,HIDALGO,'108,N,DONNA ISD,'01,B
'086024,GILLESPIE,'086,N,DOSS CONSOLIDATED CSD,'13,
'174911,NACOGDOCHES,'174,N,DOUGLASS ISD,'07,
'178801,NUECES,'178,Y,DR M L GARZA-GONZALEZ CHARTER SCHO,'02,H
'101856,HARRIS,'101,Y,DRAW ACADEMY,'04,
'105904,HAYS,'105,N,DRIPPING SPRINGS ISD,'13,
'178905,NUECES,'178,N,DRISCOLL ISD,'02,
'072902,ERATH,'072,N,DUBLIN ISD,'11,
'171901,MOORE,'171,N,DUMAS ISD,'16,
'057907,DALLAS,'057,N,DUNCANVILLE ISD,'10,
'220918,TARRANT,'220,N,EAGLE MT-SAGINAW ISD,'11,
'159901,MAVERICK,'159,N,EAGLE PASS ISD,'20,
'227909,TRAVIS,'227,N,EANES ISD,'13,
'025909,BROWN,'025,N,EARLY ISD,'15,
'241902,WHARTON,'241,N,EAST BERNARD ISD,'03,
'015911,BEXAR,'015,N,EAST CENTRAL ISD,'20,
'036903,CHAMBERS,'036,N,EAST CHAMBERS ISD,'04,D
'220811,TARRANT,'220,Y,EAST FORT WORTH MONTESSORI ACADEMY,'11,
'092801,GREGG,'092,Y,EAST TEXAS CHARTER SCHOOLS,'07,D
'067903,EASTLAND,'067,N,EASTLAND ISD,'14,
'068901,ECTOR,'068,N,ECTOR COUNTY ISD,'18,H
'074905,FANNIN,'074,N,ECTOR ISD,'10,
'108903,HIDALGO,'108,N,EDCOUCH-ELSA ISD,'01,B
'048901,CONCHO,'048,N,EDEN CISD,'15,
'227803,TRAVIS,'227,Y,EDEN PARK ACADEMY,'13,
'015905,BEXAR,'015,N,EDGEWOOD ISD,'20,B
'234903,VAN ZANDT,'234,N,EDGEWOOD ISD,'07,
'108904,HIDALGO,'108,N,EDINBURG CISD,'01,B
'120901,JACKSON,'120,N,EDNA ISD,'03,D
'057833,DALLAS,'057,Y,EDUCATION CENTER INTERNATIONAL ACA,'10,B
'123805,JEFFERSON,'123,Y,EHRHART SCHOOL,'05,D
'241903,WHARTON,'241,N,EL CAMPO ISD,'03,
'071804,EL PASO,'071,Y,EL PASO ACADEMY,'19,D
'071902,EL PASO,'071,N,EL PASO ISD,'19,
'243902,WICHITA,'243,N,ELECTRA ISD,'09,D
'011902,BASTROP,'011,N,ELGIN ISD,'13,H
'001903,ANDERSON,'001,N,ELKHART ISD,'07,
'102906,HARRISON,'102,N,ELYSIAN FIELDS ISD,'07,
'070903,ELLIS,'070,N,ENNIS ISD,'10,B
'049906,COOKE,'049,N,ERA ISD,'11,D
'072802,ERATH,'072,Y,ERATH EXCELS ACADEMY INC,'11,
'174910,NACOGDOCHES,'174,N,ETOILE ISD,'07,
'030906,CALLAHAN,'030,N,EULA ISD,'14,
'107905,HENDERSON,'107,N,EUSTACE ISD,'07,
'121906,JASPER,'121,N,EVADALE ISD,'05,D
'050901,CORYELL,'050,N,EVANT ISD,'12,
'220904,TARRANT,'220,N,EVERMAN ISD,'11,A
'057834,DALLAS,'057,Y,EVOLUTION ACADEMY CHARTER SCHOOL,'10,K
'101811,HARRIS,'101,Y,EXCEL ACADEMY,'04,
'210906,SHELBY,'210,N,EXCELSIOR ISD,'07,D
'143906,LAVACA,'143,N,EZZELL ISD,'03,
'071903,EL PASO,'071,N,FABENS ISD,'19,
'081902,FREESTONE,'081,N,FAIRFIELD ISD,'12,H
'057815,DALLAS,'057,Y,FAITH FAMILY ACADEMY OF OAK CLIFF,'10,D
'128904,KARNES,'128,N,FALLS CITY ISD,'03,
'060914,DELTA,'060,N,FANNINDEL ISD,'08,D
'043904,COLLIN,'043,N,FARMERSVILLE ISD,'10,D
'185902,PARMER,'185,N,FARWELL ISD,'16,
'075906,FAYETTE,'075,N,FAYETTEVILLE ISD,'13,
'070905,ELLIS,'070,N,FERRIS ISD,'10,D
'075901,FAYETTE,'075,N,FLATONIA ISD,'13,A
'246902,WILLIAMSON,'246,N,FLORENCE ISD,'13,
'247901,WILSON,'247,N,FLORESVILLE ISD,'20,
'178914,NUECES,'178,N,FLOUR BLUFF ISD,'02,
'077901,FLOYD,'077,N,FLOYDADA ISD,'17,
'057817,DALLAS,'057,Y,FOCUS LEARNING ACADEMY,'10,H
'148902,LIPSCOMB,'148,N,FOLLETT ISD,'16,
'169910,MONTAGUE,'169,N,FORESTBURG ISD,'09,
'129902,KAUFMAN,'129,N,FORNEY ISD,'10,
'114904,HOWARD,'114,N,FORSAN ISD,'18,B
'079907,FORT BEND,'079,N,FORT BEND ISD,'04,B
'242906,WHEELER,'242,N,FORT ELLIOTT CISD,'16,
'186902,PECOS,'186,N,FORT STOCKTON ISD,'18,
'220809,TARRANT,'220,Y,FORT WORTH ACADEMY OF FINE ARTS,'11,
'220804,TARRANT,'220,Y,FORT WORTH CAN ACADEMY,'11,B
'220905,TARRANT,'220,N,FORT WORTH ISD,'11,C
'198903,ROBERTSON,'198,N,FRANKLIN ISD,'06,
'001904,ANDERSON,'001,N,FRANKSTON ISD,'07,D
'086901,GILLESPIE,'086,N,FREDERICKSBURG ISD,'13,D
'066903,DUVAL,'066,N,FREER ISD,'02,B
'152907,LUBBOCK,'152,N,FRENSHIP ISD,'17,
'084911,GALVESTON,'084,N,FRIENDSWOOD ISD,'04,
'185903,PARMER,'185,N,FRIONA ISD,'16,
'043905,COLLIN,'043,N,FRISCO ISD,'10,
'175905,NAVARRO,'175,N,FROST ISD,'12,
'234909,VAN ZANDT,'234,N,FRUITVALE ISD,'07,
'122901,JEFF DAVIS,'122,N,FT DAVIS ISD,'18,
'115901,HUDSPETH,'115,N,FT HANCOCK ISD,'19,L
'015914,BEXAR,'015,N,FT SAM HOUSTON ISD,'20,
'232801,UVALDE,'232,Y,GABRIEL TAFOLLA ACADEMY,'20,B
'049901,COOKE,'049,N,GAINESVILLE ISD,'11,B
'101910,HARRIS,'101,N,GALENA PARK ISD,'04,A
'084902,GALVESTON,'084,N,GALVESTON ISD,'04,B
'120902,JACKSON,'120,N,GANADO ISD,'03,B
'057909,DALLAS,'057,N,GARLAND ISD,'10,
'184911,PARKER,'184,N,GARNER ISD,'11,
'174903,NACOGDOCHES,'174,N,GARRISON ISD,'07,
'183904,PANOLA,'183,N,GARY ISD,'07,
'050902,CORYELL,'050,N,GATESVILLE ISD,'12,B
'240801,WEBB,'240,Y,GATEWAY (STUDENT ALTERNATIVE PROGR,'01,L
'057831,DALLAS,'057,Y,GATEWAY CHARTER ACADEMY,'10,
'166902,MILAM,'166,N,GAUSE ISD,'06,
'015802,BEXAR,'015,Y,GEORGE GERVIN ACADEMY,'20,
'101804,HARRIS,'101,Y,GEORGE I SANCHEZ CHARTER,'04,
'149901,LIVE OAK,'149,N,GEORGE WEST ISD,'02,D
'246904,WILLIAMSON,'246,N,GEORGETOWN ISD,'13,
'161925,MCLENNAN,'161,N,GHOLSON ISD,'12,
'144901,LEE,'144,N,GIDDINGS ISD,'13,
'230902,UPSHUR,'230,N,GILMER ISD,'07,D
'101805,HARRIS,'101,Y,GIRLS & BOYS PREPARATORY ACADEMY,'04,
'092901,GREGG,'092,N,GLADEWATER ISD,'07,D
'087901,GLASSCOCK,'087,N,GLASSCOCK COUNTY ISD,'18,
'213901,SOMERVELL,'213,N,GLEN ROSE ISD,'11,
'126911,JOHNSON,'126,N,GODLEY ISD,'11,
'169906,MONTAGUE,'169,N,GOLD BURG ISD,'09,
'057835,DALLAS,'057,Y,GOLDEN RULE CHARTER SCHOOL,'10,B
'167901,MILLS,'167,N,GOLDTHWAITE ISD,'12,
'088902,GOLIAD,'088,N,GOLIAD ISD,'03,D
'089901,GONZALES,'089,N,GONZALES ISD,'13,
'187903,POLK,'187,N,GOODRICH ISD,'06,D
'101911,HARRIS,'101,N,GOOSE CREEK CISD,'04,
'182901,PALO PINTO,'182,N,GORDON ISD,'11,D
'067904,EASTLAND,'067,N,GORMAN ISD,'14,
'156905,MARTIN,'156,N,GRADY ISD,'18,
'182902,PALO PINTO,'182,N,GRAFORD ISD,'11,
'252901,YOUNG,'252,N,GRAHAM ISD,'09,B
'111901,HOOD,'111,N,GRANBURY ISD,'11,
'057910,DALLAS,'057,N,GRAND PRAIRIE ISD,'10,
'234904,VAN ZANDT,'234,N,GRAND SALINE ISD,'07,
'238904,WARD,'238,N,GRANDFALLS-ROYALTY ISD,'18,
